SIMULACION NUMERO : 1
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        80,3748         37,0479         80,3748         37,0479        117,4227          0,6845 
        95,5570         31,6361        175,9318         68,6841        244,6158          0,7192 
        95,3194         35,7468        271,2512        104,4309        375,6821          0,7220 
        64,5384         23,2771        335,7896        127,7080        463,4976          0,7245 
        42,3740         19,3548        378,1636        147,0628        525,2264          0,7200 
        30,8229         27,8932        408,9865        174,9561        583,9426          0,7004 
        72,1484         10,5904        481,1349        185,5465        666,6814          0,7217 
        83,5217         31,1364        564,6566        216,6829        781,3394          0,7227 
        41,6501         35,8726        606,3067        252,5555        858,8621          0,7059 
        69,8372         37,7045        676,1438        290,2599        966,4038          0,6996 
        80,9687         37,9590        757,1125        328,2189       1085,3314          0,6976 
        61,5720          7,8070        818,6845        336,0259       1154,7104          0,7090 
        89,8855         35,7919        908,5700        371,8178       1280,3878          0,7096 
        59,9149         17,6586        968,4849        389,4764       1357,9613          0,7132 
        93,2607         27,6413       1061,7457        417,1177       1478,8634          0,7179 
        68,7825         34,0331       1130,5281        451,1508       1581,6789          0,7148 
        45,5769         27,8762       1176,1050        479,0270       1655,1321          0,7106 
        67,1111         33,5942       1243,2161        512,6213       1755,8374          0,7080 
        94,4253         27,9968       1337,6414        540,6181       1878,2595          0,7122 
        44,3033         15,7970       1381,9447        556,4151       1938,3598          0,7129 
        68,3179          9,5756       1450,2627        565,9906       2016,2533          0,7193 
        39,6948         36,2970       1489,9575        602,2876       2092,2452          0,7121 
        93,1644         17,3648       1583,1219        619,6525       2202,7744          0,7187 
        74,4691         14,6800       1657,5910        634,3325       2291,9235          0,7232 
        37,5390         29,9351       1695,1300        664,2676       2359,3975          0,7185 
        93,4199         38,5417       1788,5498        702,8093       2491,3591          0,7179 
        38,1570         27,2475       1826,7068        730,0568       2556,7636          0,7145 
        39,6756         32,7891       1866,3824        762,8459       2629,2283          0,7099 
        62,1660         37,0985       1928,5484        799,9444       2728,4928          0,7068 
        92,3730          9,0015       2020,9214        808,9459       2829,8673          0,7141 
        61,0632         12,6238       2081,9846        821,5697       2903,5543          0,7170 
        71,2664         25,1921       2153,2510        846,7619       3000,0129          0,7177 
        87,4248         13,3549       2240,6758        860,1167       3100,7925          0,7226 
        58,7421         38,9937       2299,4179        899,1105       3198,5284          0,7189 
        70,5049         38,6374       2369,9228        937,7479       3307,6707          0,7165 
        86,7731         24,4954       2456,6959        962,2432       3418,9392          0,7186 
        76,9416         16,9834       2533,6375        979,2266       3512,8641          0,7212 
        56,8127         28,4525       2590,4503       1007,6791       3598,1294          0,7199 
        85,9757         25,5869       2676,4260       1033,2661       3709,6921          0,7215 
        38,5474         24,8669       2714,9734       1058,1330       3773,1064          0,7196 
        46,6047         13,4228       2761,5781       1071,5557       3833,1338          0,7204 
        45,0701         13,8878       2806,6482       1085,4436       3892,0918          0,7211 
        80,3648         26,7414       2887,0130       1112,1850       3999,1980          0,7219 
        79,1859         27,0959       2966,1989       1139,2809       4105,4798          0,7225 
        64,6073         31,7061       3030,8062       1170,9870       4201,7932          0,7213 
        54,2460          7,2735       3085,0522       1178,2605       4263,3127          0,7236 
        82,1657         11,7415       3167,2179       1190,0019       4357,2198          0,7269 
        87,5971         19,4403       3254,8150       1209,4423       4464,2573          0,7291 
        64,1969         26,3783       3319,0119       1235,8206       4554,8325          0,7287 
        34,7204         30,4226       3353,7323       1266,2432       4619,9755          0,7259 
        93,2439         28,9703       3446,9762       1295,2135       4742,1897          0,7269 
        75,7860         11,9167       3522,7622       1307,1301       4829,8923          0,7294 
        91,8770         19,4026       3614,6392       1326,5327       4941,1719          0,7315 
        49,9651         33,8621       3664,6043       1360,3948       5024,9991          0,7293 
        46,1365         23,1088       3710,7409       1383,5036       5094,2445          0,7284 
        98,7284         36,5770       3809,4693       1420,0806       5229,5500          0,7285 
        85,2978         18,5375       3894,7671       1438,6181       5333,3853          0,7303 
        87,6410         15,2213       3982,4081       1453,8395       5436,2476          0,7326 
        96,8592         19,5663       4079,2673       1473,4058       5552,6731          0,7346 
        88,2246         14,3303       4167,4919       1487,7360       5655,2280          0,7369 
        64,2941         33,4540       4231,7860       1521,1900       5752,9760          0,7356 
        63,2582         34,3890       4295,0442       1555,5791       5850,6233          0,7341 
